DateTime,siteID,value,variable,Depth
2017-08-27,BARC,5.022127659574469,waterlevel,"NA"
2017-08-28,BARC,5.143385416666668,waterlevel,"NA"
2017-08-29,BARC,5.147500000000001,waterlevel,"NA"
2017-08-30,BARC,5.1525,waterlevel,"NA"
2017-08-31,BARC,5.1525,waterlevel,"NA"
2017-09-01,BARC,5.1525,waterlevel,"NA"
2017-09-02,BARC,5.184270833333333,waterlevel,"NA"
2017-09-03,BARC,5.188750000000002,waterlevel,"NA"
2017-09-04,BARC,5.1875,waterlevel,"NA"
2017-09-05,BARC,5.1875,waterlevel,"NA"
2017-09-06,BARC,5.188541666666666,waterlevel,"NA"
2017-09-07,BARC,5.189114583333335,waterlevel,"NA"
2017-09-08,BARC,5.187447916666667,waterlevel,"NA"
2017-09-09,BARC,5.185729166666668,waterlevel,"NA"
2017-09-10,BARC,5.276093750000001,waterlevel,"NA"
2017-09-11,BARC,5.556510416666669,waterlevel,"NA"
2017-09-12,BARC,5.624479166666667,waterlevel,"NA"
2017-09-13,BARC,5.641406249999999,waterlevel,"NA"
2017-09-14,BARC,5.657968750000002,waterlevel,"NA"
2017-09-15,BARC,5.673645833333335,waterlevel,"NA"
2017-09-16,BARC,5.688072916666666,waterlevel,"NA"
2017-09-17,BARC,5.700885416666669,waterlevel,"NA"
2017-09-18,BARC,5.712708333333332,waterlevel,"NA"
2017-09-19,BARC,5.723697916666666,waterlevel,"NA"
2017-09-20,BARC,5.735520833333332,waterlevel,"NA"
2017-09-21,BARC,5.747343750000002,waterlevel,"NA"
2017-09-22,BARC,5.758072916666666,waterlevel,"NA"
2017-09-23,BARC,5.768020833333335,waterlevel,"NA"
2017-09-24,BARC,5.780052083333334,waterlevel,"NA"
2017-09-25,BARC,5.78953125,waterlevel,"NA"
2017-09-26,BARC,5.798750000000002,waterlevel,"NA"
2017-09-27,BARC,5.806927083333335,waterlevel,"NA"
2017-09-28,BARC,5.815989583333334,waterlevel,"NA"
2017-09-29,BARC,5.827083333333334,waterlevel,"NA"
2017-09-30,BARC,5.839166666666667,waterlevel,"NA"
2017-10-01,BARC,5.864791666666669,waterlevel,"NA"
2017-10-02,BARC,5.912916666666668,waterlevel,"NA"
2017-10-03,BARC,5.919531250000002,waterlevel,"NA"
2017-10-04,BARC,5.925156250000001,waterlevel,"NA"
2017-10-05,BARC,5.930468750000003,waterlevel,"NA"
2017-10-06,BARC,5.94140625,waterlevel,"NA"
2017-10-07,BARC,5.949999999999999,waterlevel,"NA"
2017-10-08,BARC,5.960104166666667,waterlevel,"NA"
2017-10-09,BARC,5.979270833333334,waterlevel,"NA"
2017-10-10,BARC,5.984583333333333,waterlevel,"NA"
2017-10-11,BARC,5.989479166666666,waterlevel,"NA"
2017-10-12,BARC,5.992395833333333,waterlevel,"NA"
2017-10-13,BARC,5.994062500000002,waterlevel,"NA"
