Depth,2d_area,3d_area,Volume
0,184153.736,185890.0044,522917.3436
-2,100600.4847,101737.5469,255583.7837
-4,53120.9599,53665.01806,105238.8821
-6,21638.91487,21882.46835,34541.2437
-8,7601.178226,7689.857634,8590.113736
-10,1197.098151,1200.896814,226.8556416
