Longitude,Latitude,Depth
-89.70400329,46.0005677,-1.3
-89.7040072,46.0005513,-0.5
-89.70401108,46.00054076,-0.6
-89.70401588,46.00053485,-0.7
-89.70402112,46.00053102,-0.7
-89.70402728,46.00052451,-0.7
-89.70403376,46.00051333,-0.7
-89.70404021,46.00050022,-0.8
-89.70404563,46.0004876,-0.8
-89.70405146,46.00047523,-0.8
-89.7040574,46.00046224,-0.8
-89.70406006,46.00044935,-0.9
-89.70406273,46.00043307,-0.9
-89.7040654,46.0004185,-1
-89.70406736,46.00040565,-1
-89.70406903,46.0003895,-1
-89.7040707,46.00037155,-1.1
-89.70407237,46.00035234,-1.2
-89.70407405,46.00033345,-1.2
-89.70407382,46.00032098,-1.3
-89.70406995,46.00030703,-1.3
-89.70406845,46.00029196,-1.3
-89.70407784,46.000278,-1.2
-89.70408076,46.00026263,-1.2
-89.70408367,46.00024802,-1.1
-89.70408755,46.0002334,-1.1
-89.7040916,46.00021713,-1.1
-89.70409704,46.0001973,-1
-89.70410274,46.00017831,-1
-89.70410618,46.00015851,-0.9
-89.70410963,46.00013483,-0.9
-89.704109,46.00010444,-1
-89.70410541,46.00008097,-1
-89.70410192,46.00005936,-1
-89.70409964,46.00004184,-1
-89.70409736,46.00002305,-1
-89.70409509,46.00000256,-1.1
-89.70409287,45.99998339,-1.2
-89.70409101,45.99996421,-1.1
-89.70408915,45.99994657,-1.1
-89.70408728,45.99993366,-1
-89.70408541,45.99992037,-1.1
-89.70408336,45.99991013,-1.1
-89.7040809,45.99989957,-1.1
-89.70407845,45.99989062,-1
-89.70407599,45.99988187,-1
-89.70407878,45.99987228,-1
-89.704083,45.99986592,-1
-89.70408,45.99985991,-0.9
-89.70407977,45.9998516,-0.9
-89.70407534,45.99984029,-0.9
-89.70408261,45.9998304,-0.9
-89.70408931,45.99981481,-0.9
-89.70409493,45.9997948,-0.9
-89.70409919,45.99977498,-0.7
-89.7041035,45.99975159,-0.7
-89.70410794,45.99972767,-0.6
-89.70411081,45.99970152,-0.7
-89.70410988,45.99967761,-0.6
-89.70410895,45.99965515,-0.7
-89.70410801,45.99962865,-0.6
-89.70410708,45.99960248,-0.7
-89.70410615,45.99957634,-1.2
-89.70410522,45.99955297,-0.6
-89.70410428,45.99952903,-0.5
-89.70410335,45.99950266,-0.4
-89.70410242,45.99947726,-0.4
-89.70409973,45.99945165,-1.1
-89.70409615,45.99942774,-0.6
-89.70409233,45.99940417,-0.6
-89.70408739,45.99938223,-0.6
-89.70408216,45.99936101,-0.7
-89.70407637,45.99933834,-0.9
-89.70407058,45.99931484,-1.1
-89.70406446,45.99929343,-1.2
-89.70405719,45.99927346,-1.2
-89.70405231,45.99926028,-1.3
-89.70404685,45.99924551,-1.3
-89.70403825,45.99922798,-1.5
-89.70402911,45.99920863,-1.5
-89.70402082,45.99918768,-1.6
-89.70401531,45.99916538,-1.7
-89.70400845,45.99914546,-2
-89.70400101,45.99912508,-2.1
-89.70399522,45.99910511,-2.4
-89.70398654,45.99908608,-2.6
-89.70397709,45.99906521,-2.9
-89.70397185,45.99904597,-3.1
-89.70396727,45.99903041,-3.4
-89.70396623,45.99901617,-3.5
-89.70396518,45.99900416,-3.7
-89.70396413,45.99899122,-3.7
-89.70396308,45.99898231,-3.9
-89.70396203,45.99897369,-3.9
-89.70396099,45.99896561,-4.7
-89.70395994,45.99895969,-4.7
-89.7039589,45.99895,-4.1
-89.70396409,45.99894191,-4.1
-89.70396814,45.99893526,-4.2
-89.7039699,45.9989308,-4.3
-89.70397166,45.9989267,-4.4
-89.70397342,45.99892098,-4.4
-89.70397519,45.99891788,-4.4
-89.7039773,45.99891479,-4.4
-89.70398013,45.99891152,-4.6
-89.70398294,45.99890822,-4.5
-89.70398514,45.99890461,-4.7
-89.70398396,45.99890049,-4.7
-89.70398278,45.99889582,-4.7
-89.7039816,45.99889309,-4.8
-89.70398041,45.99889034,-4.8
-89.70397923,45.99888706,-4.8
-89.70397805,45.99888365,-4.4
-89.70397687,45.99888005,-4.5
-89.70397539,45.99887632,-4.5
-89.70397367,45.99887222,-4.7
-89.70397194,45.99886863,-5.1
-89.70397022,45.99886523,-4.3
-89.70396849,45.99886179,-4.9
-89.70396687,45.9988584,-4.6
-89.70396546,45.99885569,-4.5
-89.70396404,45.99885299,-5
-89.70396263,45.99884426,-4.6
-89.70396121,45.99882674,-4.4
-89.70395979,45.99880736,-4.8
-89.70395838,45.99878349,-4.7
-89.70394984,45.99876188,-4.8
-89.70393731,45.99874046,-4.9
-89.70392199,45.99872259,-5.8
-89.70390628,45.99869868,-6.3
-89.70389468,45.99867478,-5
-89.70388692,45.99865148,-5.3
-89.70388017,45.99862755,-5.4
-89.70387485,45.998605,-5.5
-89.70387041,45.99857801,-5.7
-89.7038673,45.99855412,-5.8
-89.70386514,45.99852624,-5.8
-89.70386297,45.99850051,-5.9
-89.70386081,45.99847672,-6
-89.70385759,45.99845281,-5.9
-89.70385291,45.99842753,-6.1
-89.70384863,45.99840083,-5.8
-89.70384476,45.99837542,-5.9
-89.7038411,45.99835209,-6.1
-89.70383836,45.99832588,-5.9
-89.70383564,45.99830588,-6.1
-89.70383291,45.99828317,-5.9
-89.70382769,45.99825312,-5.7
-89.70382219,45.9982271,-5.9
-89.70381667,45.99820125,-5.6
-89.70380882,45.99817783,-5.4
-89.70379886,45.9981521,-5.4
-89.70379141,45.99812845,-5.2
-89.70378308,45.99810499,-5.1
-89.70377274,45.99808403,-4.6
-89.70376238,45.99806064,-3.9
-89.70374991,45.99803679,-3.3
-89.70373424,45.99801391,-2.6
-89.70371465,45.99799409,-1.9
-89.70369366,45.99798451,-1.4
-89.70367476,45.99797861,-1
-89.70365344,45.99798337,-0.7
-89.70363932,45.99798803,-0.7
-89.70362782,45.99799296,-0.7
-89.70361486,45.99800006,-1.1
-89.70360325,45.99801134,-0.5
-89.70359253,45.99802254,-0.7
-89.70358286,45.99803534,-0.9
-89.703569,45.99804617,-1.3
-89.70355292,45.99805777,-1.6
-89.70353883,45.99806438,-1.7
-89.7035266,45.99807258,-1.9
-89.70351321,45.99808134,-2
-89.7034943,45.99809083,-1.9
-89.70347397,45.99809577,-1.9
-89.70345156,45.99809938,-1.6
-89.70343289,45.9981059,-1.4
-89.70342964,45.99811952,-1.3
-89.70343155,45.9981307,-1.5
-89.70343345,45.99814121,-1.7
-89.70343536,45.99815251,-2
-89.70343727,45.99817036,-2.6
-89.70342994,45.99818996,-2.9
-89.70343416,45.99820807,-3.4
-89.70343939,45.99822879,-3.5
-89.70344887,45.99825134,-3.8
-89.70346314,45.99827273,-4
-89.70347796,45.99829458,-4.3
-89.70348937,45.99831811,-4.7
-89.7035004,45.99834056,-4.7
-89.70350322,45.99836403,-4.9
-89.70350605,45.99838738,-4.7
-89.70350886,45.99841125,-5.1
-89.70351005,45.99843554,-4.9
-89.70351449,45.99846241,-5.2
-89.70351957,45.99848833,-5.2
-89.70352796,45.99851257,-5.2
-89.70353523,45.99853621,-5.2
-89.70354517,45.99855981,-5.5
-89.70355349,45.99858267,-5.1
-89.7035646,45.99860908,-5.4
-89.70357353,45.99863095,-5.3
-89.70358134,45.99865258,-5.5
-89.70359028,45.99867617,-5.4
-89.70359279,45.99869777,-5.1
-89.70359529,45.99871974,-4.9
-89.70359781,45.99874345,-4.9
-89.70360119,45.99876717,-5
