elevation, 2d_area, 3d_area, volume
0,307362.1855,305913.1984,633171.1137
-0.5,298163.4627,298399.0996,482057.2731
-1,288249.2588,288404.5364,335193.481
-1.5,263941.7309,264021.5835,196422.8791
-2,208192.2158,208229.3629,75899.32763
-2.5,53435.48474,53447.25849,10123.56592
-3,125.6347206,126.3740526,2.510058237
