Longitude,Latitude,Depth,ASL
-82.019628,29.686102,0.00,28.381
-82.019320,29.686599,0.00,28.381
-82.019240,29.686944,0.00,28.381
-82.019230,29.686981,0.00,28.381
-82.019179,29.687106,0.00,28.381
-82.019003,29.687603,0.00,28.381
-82.018890,29.687920,0.00,28.381
-82.018878,29.687957,0.00,28.381
-82.018820,29.688291,0.00,28.381
-82.019505,29.686057,0.00,28.381
-82.020692,29.689031,-0.30,28.081
-82.019623,29.686099,-0.50,27.881
-82.019634,29.686105,-0.50,27.881
-82.019640,29.686108,-0.50,27.881
-82.019637,29.686112,-0.50,27.881
-82.019633,29.686116,-0.50,27.881
-82.019629,29.686119,-0.50,27.881
-82.019625,29.686122,-0.50,27.881
-82.019625,29.686128,-0.50,27.881
-82.019630,29.686134,-0.50,27.881
-82.019630,29.686140,-0.50,27.881
-82.019628,29.686144,-0.50,27.881
-82.019625,29.686149,-0.50,27.881
-82.019623,29.686155,-0.50,27.881
-82.019617,29.686160,-0.50,27.881
-82.019610,29.686166,-0.50,27.881
-82.019605,29.686173,-0.50,27.881
-82.019599,29.686181,-0.50,27.881
-82.019593,29.686188,-0.50,27.881
-82.019586,29.686196,-0.50,27.881
-82.019576,29.686207,-0.50,27.881
-82.019566,29.686220,-0.50,27.881
-82.019559,29.686229,-0.50,27.881
-82.019555,29.686237,-0.50,27.881
-82.019550,29.686246,-0.50,27.881
-82.019544,29.686253,-0.50,27.881
-82.019537,29.686260,-0.50,27.881
-82.019528,29.686271,-0.50,27.881
-82.019516,29.686283,-0.50,27.881
-82.019501,29.686293,-0.50,27.881
-82.019489,29.686299,-0.50,27.881
-82.019481,29.686306,-0.50,27.881
-82.019471,29.686315,-0.50,27.881
-82.019466,29.686323,-0.50,27.881
-82.019462,29.686330,-0.50,27.881
-82.019459,29.686336,-0.50,27.881
-82.019455,29.686344,-0.50,27.881
-82.019452,29.686351,-0.50,27.881
-82.019450,29.686360,-0.50,27.881
-82.019447,29.686369,-0.50,27.881
-82.019445,29.686380,-0.50,27.881
-82.019443,29.686389,-0.50,27.881
-82.019441,29.686399,-0.50,27.881
-82.019439,29.686408,-0.50,27.881
-82.019437,29.686418,-0.50,27.881
-82.019435,29.686429,-0.50,27.881
-82.019430,29.686440,-0.50,27.881
-82.019423,29.686454,-0.50,27.881
-82.019414,29.686468,-0.50,27.881
-82.019402,29.686480,-0.50,27.881
-82.019391,29.686491,-0.50,27.881
-82.019381,29.686503,-0.50,27.881
-82.019371,29.686514,-0.50,27.881
-82.019362,29.686525,-0.50,27.881
-82.019353,29.686536,-0.50,27.881
-82.019344,29.686547,-0.50,27.881
-82.019338,29.686556,-0.50,27.881
-82.019333,29.686567,-0.50,27.881
-82.019330,29.686577,-0.50,27.881
-82.019327,29.686588,-0.50,27.881
-82.019314,29.686612,-0.50,27.881
-82.019311,29.686624,-0.50,27.881
-82.019307,29.686636,-0.50,27.881
-82.019303,29.686648,-0.50,27.881
-82.019301,29.686661,-0.50,27.881
-82.019308,29.686675,-0.50,27.881
-82.019305,29.686688,-0.50,27.881
-82.019302,29.686701,-0.50,27.881
-82.019299,29.686714,-0.50,27.881
-82.019297,29.686726,-0.50,27.881
-82.019294,29.686736,-0.50,27.881
-82.019292,29.686746,-0.50,27.881
-82.019289,29.686756,-0.50,27.881
-82.019287,29.686767,-0.50,27.881
-82.019284,29.686781,-0.50,27.881
-82.019282,29.686794,-0.50,27.881
-82.019278,29.686805,-0.50,27.881
-82.019274,29.686817,-0.50,27.881
-82.019270,29.686826,-0.50,27.881
-82.019266,29.686838,-0.50,27.881
-82.019262,29.686851,-0.50,27.881
-82.019260,29.686864,-0.50,27.881
-82.019257,29.686876,-0.50,27.881
-82.019254,29.686888,-0.50,27.881
-82.019251,29.686902,-0.50,27.881
-82.019248,29.686916,-0.50,27.881
-82.019244,29.686929,-0.50,27.881
-82.019236,29.686957,-0.50,27.881
-82.019233,29.686969,-0.50,27.881
-82.019227,29.686993,-0.50,27.881
-82.019221,29.687005,-0.50,27.881
-82.019216,29.687017,-0.50,27.881
-82.019211,29.687029,-0.50,27.881
-82.019205,29.687040,-0.50,27.881
-82.019199,29.687051,-0.50,27.881
