Longitude,Latitude,Depth,ASL
-82.010073,29.675731,0.0,26.487
-82.009249,29.676933,-0.1,26.387
-82.007047,29.676231,-0.1,26.387
-82.008441,29.677680,-0.2,26.287
-82.010064,29.675393,-0.2,26.287
-82.010061,29.675403,-0.2,26.287
-82.009660,29.675277,-0.5,25.987
-82.009741,29.675301,-0.5,25.987
-82.010032,29.675376,-0.5,25.987
-82.010075,29.675380,-0.5,25.987
-82.007428,29.675228,-0.5,25.987
-82.007138,29.676612,-0.5,25.987
-82.008897,29.677210,-0.5,25.987
-82.007267,29.677345,-0.5,25.987
-82.008412,29.677829,-0.5,25.987
-82.006589,29.675855,-0.5,25.987
-82.006602,29.675850,-0.5,25.987
-82.006603,29.675847,-0.5,25.987
-82.006605,29.675846,-0.5,25.987
-82.006607,29.675846,-0.5,25.987
-82.006608,29.675845,-0.5,25.987
-82.006609,29.675844,-0.5,25.987
-82.006610,29.675843,-0.5,25.987
-82.006611,29.675841,-0.5,25.987
-82.006614,29.675839,-0.5,25.987
-82.006615,29.675840,-0.5,25.987
-82.006615,29.675840,-0.5,25.987
-82.006608,29.675842,-0.5,25.987
-82.006609,29.675843,-0.5,25.987
-82.006612,29.675843,-0.5,25.987
-82.006614,29.675844,-0.5,25.987
-82.006616,29.675844,-0.5,25.987
-82.006614,29.675845,-0.5,25.987
-82.006613,29.675845,-0.5,25.987
-82.006611,29.675845,-0.5,25.987
-82.006610,29.675846,-0.5,25.987
-82.006608,29.675846,-0.5,25.987
-82.006609,29.675847,-0.5,25.987
-82.006612,29.675846,-0.5,25.987
-82.006615,29.675844,-0.5,25.987
-82.006612,29.675842,-0.5,25.987
-82.006609,29.675837,-0.5,25.987
-82.006614,29.675835,-0.5,25.987
-82.006618,29.675832,-0.5,25.987
-82.006620,29.675827,-0.5,25.987
-82.007542,29.674477,-0.5,25.987
-82.007543,29.674475,-0.5,25.987
-82.007544,29.674475,-0.5,25.987
-82.007548,29.674483,-0.5,25.987
-82.007548,29.674485,-0.5,25.987
-82.007549,29.674488,-0.5,25.987
-82.007542,29.674483,-0.5,25.987
-82.007539,29.674482,-0.5,25.987
-82.007536,29.674486,-0.5,25.987
-82.007538,29.674486,-0.5,25.987
-82.007540,29.674487,-0.5,25.987
-82.007544,29.674489,-0.5,25.987
-82.007542,29.674482,-0.5,25.987
-82.007539,29.674482,-0.5,25.987
-82.007538,29.674483,-0.5,25.987
-82.007537,29.674483,-0.5,25.987
-82.007535,29.674483,-0.5,25.987
-82.007532,29.674484,-0.5,25.987
-82.007533,29.674484,-0.5,25.987
-82.007534,29.674485,-0.5,25.987
-82.007536,29.674485,-0.5,25.987
-82.007539,29.674486,-0.5,25.987
-82.007540,29.674486,-0.5,25.987
-82.007539,29.674486,-0.5,25.987
-82.007536,29.674487,-0.5,25.987
-82.007532,29.674487,-0.5,25.987
-82.007533,29.674487,-0.5,25.987
-82.007535,29.674488,-0.5,25.987
-82.007537,29.674488,-0.5,25.987
-82.007539,29.674488,-0.5,25.987
-82.007541,29.674488,-0.5,25.987
-82.007542,29.674489,-0.5,25.987
-82.007544,29.674489,-0.5,25.987
-82.007545,29.674489,-0.5,25.987
-82.007547,29.674490,-0.5,25.987
-82.007548,29.674487,-0.5,25.987
-82.007558,29.674494,-0.5,25.987
-82.007563,29.674497,-0.5,25.987
-82.007664,29.677221,-0.5,25.987
-82.008404,29.674483,-0.6,25.887
-82.008408,29.674485,-0.6,25.887
-82.008409,29.674486,-0.6,25.887
-82.008410,29.674486,-0.6,25.887
-82.008412,29.674487,-0.6,25.887
-82.008415,29.674488,-0.6,25.887
-82.009020,29.675039,-0.6,25.887
-82.009110,29.675078,-0.6,25.887
-82.009481,29.675208,-0.6,25.887
-82.009727,29.675296,-0.6,25.887
-82.009746,29.675304,-0.6,25.887
-82.010069,29.675380,-0.6,25.887
-82.010515,29.675472,-0.6,25.887
-82.008204,29.674952,-0.6,25.887
-82.007055,29.675075,-0.6,25.887
-82.006669,29.675592,-0.6,25.887
-82.006663,29.675592,-0.6,25.887
-82.006661,29.675594,-0.6,25.887
-82.006664,29.675595,-0.6,25.887
-82.006657,29.675622,-0.6,25.887
-82.006655,29.675629,-0.6,25.887
-82.006653,29.675635,-0.6,25.887
-82.006657,29.675651,-0.6,25.887
-82.006624,29.675969,-0.6,25.887
-82.006626,29.675971,-0.6,25.887
-82.006629,29.675965,-0.6,25.887
-82.008909,29.677210,-0.6,25.887
-82.007268,29.677339,-0.6,25.887
-82.007265,29.677331,-0.6,25.887
-82.007269,29.677336,-0.6,25.887
-82.007268,29.677347,-0.6,25.887
-82.007263,29.677353,-0.6,25.887
-82.007263,29.677352,-0.6,25.887
-82.007270,29.677347,-0.6,25.887
-82.007265,29.677343,-0.6,25.887
-82.007265,29.677341,-0.6,25.887
-82.007269,29.677339,-0.6,25.887
-82.007266,29.677338,-0.6,25.887
-82.007264,29.677345,-0.6,25.887
-82.007263,29.677345,-0.6,25.887
-82.007264,29.677344,-0.6,25.887
-82.007264,29.677343,-0.6,25.887
-82.007265,29.677342,-0.6,25.887
-82.007266,29.677341,-0.6,25.887
-82.007267,29.677340,-0.6,25.887
-82.007268,29.677339,-0.6,25.887
-82.007269,29.677338,-0.6,25.887
-82.007269,29.677338,-0.6,25.887
-82.007270,29.677340,-0.6,25.887
-82.007271,29.677343,-0.6,25.887
