elevation, 2d_area, 3d_area, volume
0,119733.1409,119470.4845,400446.948
-1,101733.3408,102626.3788,291761.1873
-2,73612.05791,74200.02462,205616.1847
-3,60091.27318,60372.03109,140096.4408
-4,51523.74108,51635.71107,83787.56236
-5,39855.27017,39902.72427,38288.63298
-6,26359.08834,26369.2105,3776.977248
