OBJECTID,Longitude,Latitude,ElevationB
1,-149.60647404300,68.63150751520,-12.20000000000
2,-149.60640517500,68.63149400330,-12.30000000000
3,-149.60633331300,68.63148294280,-12.40000000000
4,-149.60627043300,68.63147246110,-12.60000000000
5,-149.60620754000,68.63146082860,-12.50000000000
6,-149.60614519800,68.63144854780,-12.30000000000
7,-149.60608472400,68.63143626290,-12.30000000000
8,-149.60602038400,68.63142166310,-12.00000000000
9,-149.60595604900,68.63140814660,-11.00000000000
10,-149.60589459300,68.63139489300,-10.10000000000
11,-149.60583337600,68.63138181120,-9.40000000000
12,-149.60577092300,68.63136902650,-10.20000000000
13,-149.60570685200,68.63135586990,-10.10000000000
14,-149.60564762600,68.63134371650,-9.90000000000
15,-149.60558175200,68.63132842850,-9.30000000000
16,-149.60552186600,68.63131543430,-8.80000000000
17,-149.60546195400,68.63130308590,-8.70000000000
18,-149.60541070900,68.63129162820,-7.90000000000
19,-149.60535571600,68.63127930040,-7.80000000000
20,-149.60529955200,68.63126569430,-8.20000000000
21,-149.60524453000,68.63125059080,-7.80000000000
22,-149.60518725700,68.63123355270,-7.90000000000
23,-149.60513306900,68.63121678460,-8.10000000000
24,-149.60507718700,68.63119957260,-8.50000000000
25,-149.60502325900,68.63118236980,-8.40000000000
26,-149.60496714700,68.63116434400,-8.00000000000
27,-149.60491442000,68.63114511450,-8.70000000000
28,-149.60486355600,68.63112471180,-8.40000000000
29,-149.60481222500,68.63110456810,-8.10000000000
30,-149.60476088500,68.63108584430,-7.10000000000
31,-149.60471005600,68.63106525580,-7.10000000000
32,-149.60466286800,68.63104354560,-7.00000000000
33,-149.60461207100,68.63102315500,-6.80000000000
34,-149.60456524900,68.63100342910,-6.50000000000
35,-149.60451355200,68.63098253790,-5.90000000000
36,-149.60446419300,68.63096369870,-5.70000000000
37,-149.60446189600,68.63096369870,-5.50000000000
38,-149.59391609000,68.63292596240,-5.00000000000
39,-149.59393269500,68.63292182100,-5.00000000000
40,-149.59394398600,68.63291845270,-5.00000000000
41,-149.59395340900,68.63291514400,-5.00000000000
42,-149.59396342000,68.63291204340,-5.00000000000
43,-149.59397302700,68.63290903090,-5.00000000000
44,-149.59398390200,68.63290645290,-5.00000000000
45,-149.59399660000,68.63290362810,-5.00000000000
46,-149.59400946400,68.63289975630,-5.00000000000
47,-149.59403773200,68.63288748160,-5.00000000000
48,-149.59406396600,68.63287027440,-4.00000000000
49,-149.59408664100,68.63284324560,-4.00000000000
50,-149.59408202400,68.63281213710,-4.00000000000
51,-149.59407583300,68.63277855290,-5.00000000000
52,-149.59404828200,68.63274121620,-5.00000000000
53,-149.59400296900,68.63271089310,-4.00000000000
54,-149.59393743900,68.63268275870,-4.00000000000
55,-149.59385618600,68.63265967270,-4.00000000000
56,-149.59377236500,68.63264424560,-4.00000000000
57,-149.59367052400,68.63263841710,-4.00000000000
58,-149.59356803200,68.63264052560,-4.00000000000
59,-149.59347372800,68.63264686860,-4.00000000000
60,-149.59337708000,68.63265981310,-4.00000000000
61,-149.59329627700,68.63267372780,-5.00000000000
62,-149.59322693000,68.63268624770,-5.00000000000
63,-149.59316370900,68.63269789420,-5.00000000000
64,-149.59309865500,68.63271303720,-6.00000000000
65,-149.59303126300,68.63272849240,-6.00000000000
66,-149.59295710400,68.63274534180,-6.00000000000
67,-149.59288693400,68.63276403970,-7.00000000000
68,-149.59281421800,68.63278135220,-6.00000000000
69,-149.59273934300,68.63279820750,-5.00000000000
70,-149.59266189000,68.63281504090,-5.00000000000
71,-149.59257988800,68.63283049730,-5.00000000000
72,-149.59250579000,68.63284594260,-5.00000000000
73,-149.59242047400,68.63286277350,-5.00000000000
74,-149.59233731100,68.63287653710,-5.00000000000
75,-149.59225972700,68.63289064950,-5.00000000000
76,-149.59217787700,68.63290412730,-5.00000000000
77,-149.59209258200,68.63291772580,-5.00000000000
78,-149.59201401300,68.63293311340,-5.00000000000
79,-149.59193603400,68.63294889260,-4.00000000000
80,-149.59186578100,68.63296936040,-4.00000000000
81,-149.59181536400,68.63298931360,-3.00000000000
82,-149.59177162600,68.63301154510,-2.00000000000
83,-149.59174547000,68.63303173680,-2.00000000000
84,-149.59172594200,68.63305182760,-2.00000000000
85,-149.59171546200,68.63307049420,-2.00000000000
86,-149.59172165500,68.63308928770,-2.00000000000
87,-149.59173087200,68.63310800850,-2.00000000000
88,-149.59174804500,68.63312671970,-2.00000000000
89,-149.59177167500,68.63314667660,-2.00000000000
90,-149.59180269600,68.63316557750,-3.00000000000
91,-149.59183387000,68.63318393230,-3.00000000000
92,-149.59187319500,68.63320439980,-4.00000000000
93,-149.59191929500,68.63322450620,-4.00000000000
94,-149.59197275600,68.63324329050,-4.00000000000
95,-149.59203482800,68.63325919160,-4.00000000000
96,-149.59210753500,68.63327591620,-4.00000000000
97,-149.59218241000,68.63329119860,-4.00000000000
98,-149.59225735600,68.63330829510,-4.00000000000
99,-149.59233899700,68.63332374020,-3.00000000000
100,-149.59241596200,68.63334197940,-3.00000000000
101,-149.59249980200,68.63335741460,-3.00000000000
102,-149.59258663500,68.63337286820,-3.00000000000
103,-149.59266972600,68.63338813790,-3.00000000000
104,-149.59275508400,68.63340286730,-3.00000000000
105,-149.59284040000,68.63341772970,-3.00000000000
106,-149.59292349000,68.63343310460,-3.00000000000
107,-149.59300882700,68.63344820410,-3.00000000000
108,-149.59309264800,68.63346365270,-3.00000000000
109,-149.59317723400,68.63348078850,-4.00000000000
110,-149.59325136300,68.63349921220,-4.00000000000
111,-149.59332773700,68.63352120970,-4.00000000000
112,-149.59339890700,68.63354179590,-4.00000000000
113,-149.59346998000,68.63356514440,-4.00000000000
114,-149.59354136900,68.63358717620,-4.00000000000
115,-149.59361067500,68.63361056980,-5.00000000000
116,-149.59368030700,68.63363459270,-5.00000000000
117,-149.59375439900,68.63365971960,-5.00000000000
118,-149.59381727900,68.63368470760,-5.00000000000
119,-149.59389173100,68.63371378260,-5.00000000000
120,-149.59396100400,68.63374161060,-5.00000000000
121,-149.59402128000,68.63376943110,-4.00000000000
122,-149.59408117200,68.63379356630,-4.00000000000
123,-149.59413678300,68.63382022570,-4.00000000000
124,-149.59418681000,68.63384360600,-5.00000000000
125,-149.59423385900,68.63386853740,-5.00000000000
126,-149.59427052700,68.63389311570,-6.00000000000
127,-149.59429837300,68.63392300200,-6.00000000000
128,-149.59431883500,68.63394987070,-5.00000000000
129,-149.59434111100,68.63397578730,-4.00000000000
130,-149.59436714500,68.63400325610,-4.00000000000
131,-149.59439781800,68.63403036210,-4.00000000000
132,-149.59443580200,68.63405373960,-4.00000000000
133,-149.59447819700,68.63407760950,-4.00000000000
134,-149.59452463300,68.63410273720,-3.00000000000
135,-149.59457183400,68.63412485680,-3.00000000000
136,-149.59461784300,68.63414818490,-3.00000000000
137,-149.59466503800,68.63416867040,-3.00000000000
138,-149.59471169900,68.63419036830,-3.00000000000
139,-149.59476171900,68.63421108020,-3.00000000000
140,-149.59481310600,68.63423187210,-3.00000000000
141,-149.59486826600,68.63425260400,-3.00000000000
142,-149.59491960000,68.63427388760,-3.00000000000
143,-149.59497387600,68.63429766550,-3.00000000000
144,-149.59503127000,68.63432223210,-3.00000000000
145,-149.59508984200,68.63434977880,-3.00000000000
146,-149.59514673300,68.63437707500,-3.00000000000
147,-149.59520510100,68.63440409260,-3.00000000000
148,-149.59525790600,68.63442744020,-2.00000000000
149,-149.59530842400,68.63445241240,-2.00000000000
150,-149.59536082300,68.63447807070,-2.00000000000
151,-149.59540723400,68.63450482080,-2.00000000000
152,-149.59545053300,68.63453267760,-2.00000000000
153,-149.59549597100,68.63456298380,-3.00000000000
154,-149.59553954600,68.63459080700,-3.00000000000
155,-149.59558462400,68.63461814410,-2.00000000000
156,-149.59562282200,68.63464731320,-2.00000000000
157,-149.59565712400,68.63467748830,-2.00000000000
158,-149.59569393100,68.63470707600,-2.00000000000
159,-149.59573574200,68.63473491770,-2.00000000000
160,-149.59577721800,68.63476580210,-3.00000000000
161,-149.59581714600,68.63479634060,-3.00000000000
162,-149.59586040800,68.63482415990,-3.00000000000
163,-149.59590000200,68.63485447280,-3.00000000000
164,-149.59594283400,68.63488559730,-3.00000000000
165,-149.59598982300,68.63491518980,-3.00000000000
166,-149.59603090400,68.63494701220,-3.00000000000
167,-149.59607837500,68.63497430100,-3.00000000000
168,-149.59612225200,68.63500408900,-2.00000000000
169,-149.59617077200,68.63503217400,-2.00000000000
170,-149.59621717400,68.63505618730,-2.00000000000
171,-149.59626958300,68.63508130570,-2.00000000000
172,-149.59632348000,68.63510642400,-2.00000000000
173,-149.59637612700,68.63513292000,-2.00000000000
174,-149.59643575500,68.63515827460,-2.00000000000
175,-149.59649155300,68.63518446680,-3.00000000000
176,-149.59655194000,68.63520823980,-3.00000000000
177,-149.59661311300,68.63523383980,-4.00000000000
178,-149.59667601900,68.63525770840,-4.00000000000
179,-149.59674115900,68.63528110660,-4.00000000000
180,-149.59680592700,68.63530448660,-4.00000000000
181,-149.59686920000,68.63532862230,-4.00000000000
182,-149.59693879200,68.63535316560,-4.00000000000
183,-149.59700365300,68.63537517450,-4.00000000000
184,-149.59707165600,68.63539793600,-4.00000000000
185,-149.59714091500,68.63542194890,-4.00000000000
186,-149.59720826500,68.63544650660,-4.00000000000
187,-149.59727565700,68.63547107970,-3.00000000000
188,-149.59734365200,68.63549446660,-3.00000000000
189,-149.59740814800,68.63551857270,-3.00000000000
190,-149.59747327800,68.63554128110,-3.00000000000
191,-149.59754750900,68.63556692910,-3.00000000000
192,-149.59762381200,68.63559475120,-2.00000000000
193,-149.59769784800,68.63562174680,-3.00000000000
194,-149.59777328400,68.63564597720,-3.00000000000
195,-149.59784545600,68.63567042510,-4.00000000000
196,-149.59791343500,68.63569707990,-3.00000000000
197,-149.59798785100,68.63572216430,-3.00000000000
198,-149.59805601400,68.63574579220,-4.00000000000
199,-149.59813014000,68.63577100910,-3.00000000000
200,-149.59819954500,68.63579747720,-3.00000000000
201,-149.59827274700,68.63582154290,-3.00000000000
202,-149.59834007700,68.63584680240,-3.00000000000
203,-149.59841431000,68.63587315960,-3.00000000000
204,-149.59848178300,68.63590059290,-3.00000000000
205,-149.59854674400,68.63592543210,-3.00000000000
206,-149.59861409400,68.63595255580,-3.00000000000
207,-149.59867821600,68.63598079200,-3.00000000000
208,-149.59873859300,68.63600932330,-3.00000000000
209,-149.59879375000,68.63603771370,-4.00000000000
