Longitude,Latitude,Depth
-99.25110653,47.1307134,-1.9
-99.25113635,47.13072844,-1.9
-99.25116733,47.13074314,-1.9
-99.25119594,47.13075798,-2
-99.25122628,47.13077364,-2
-99.25125549,47.13078896,-2
-99.25128655,47.13080136,-2
-99.25131761,47.13081692,-2
-99.25134864,47.13083086,-2
-99.25137686,47.13084643,-2
-99.25140562,47.1308626,-2
-99.25143321,47.13087856,-2
-99.25146134,47.13089572,-1.9
-99.2514851,47.1309133,-1.9
-99.2515144,47.13093044,-1.9
-99.25153977,47.13094803,-1.9
-99.25156588,47.13096561,-1.9
-99.25159367,47.13098317,-1.9
-99.25161941,47.1310023,-1.8
-99.25164635,47.13101982,-1.8
-99.25167123,47.13103713,-1.7
-99.25169652,47.13105335,-1.7
-99.25172184,47.13107286,-1.6
-99.25174751,47.13108964,-1.6
-99.25177318,47.13110698,-1.6
-99.25179881,47.13112637,-1.5
-99.25182228,47.13114531,-1.5
-99.2518476,47.13116259,-1.4
-99.25187334,47.1311821,-1.4
-99.25189823,47.13120059,-1.3
-99.25192456,47.13121776,-1.2
-99.25195129,47.13123572,-1.2
-99.25197786,47.13125148,-1.1
-99.25200572,47.13126745,-1.1
-99.25203542,47.13128029,-1.1
-99.25206837,47.13129151,-1.1
-99.2521017,47.13129716,-1.1
-99.25213731,47.13129525,-1.1
-99.25216935,47.13129334,-1.2
-99.25220332,47.13129143,-1.3
-99.25223205,47.13128409,-1.3
-99.25225541,47.13127238,-1.4
-99.25228068,47.13126099,-1.5
-99.2523,47.13124315,-1.6
-99.25231727,47.13122566,-1.7
-99.25232995,47.13120673,-1.7
-99.25232994,47.1311863,-1.7
-99.25232623,47.1311675,-1.8
-99.25232098,47.13114975,-1.8
-99.25230973,47.13113229,-1.8
-99.25229124,47.13111743,-1.9
-99.25227073,47.13110677,-1.9
-99.25224571,47.13109636,-1.9
-99.25221814,47.13108733,-1.9
-99.25218976,47.131077,-1.9
-99.252162,47.1310645,-1.9
-99.25213828,47.13105288,-1.9
-99.2521157,47.13103762,-1.9
-99.2520937,47.13102246,-1.9
-99.25207454,47.131006,-1.9
-99.2520542,47.13098746,-1.9
-99.2520351,47.13096919,-2
-99.25201328,47.13095248,-2
-99.25199464,47.13093577,-2
-99.25197192,47.13091819,-2.1
-99.2519506,47.13090062,-2
-99.25192523,47.13088501,-2
-99.2519021,47.13086969,-2
-99.25187455,47.13085676,-2
-99.25184842,47.13084409,-2.1
-99.25181741,47.13083382,-2
-99.25178771,47.13082373,-2
-99.25175777,47.13081316,-2.1
-99.25172675,47.13080438,-2.1
-99.25169571,47.13079413,-2.1
-99.25166466,47.13078609,-2
-99.25163651,47.13077595,-2.1
-99.25160506,47.13076718,-2.1
-99.25157992,47.13075448,-2
-99.25155175,47.13074286,-2.1
-99.2515267,47.13073087,-2.2
-99.25150134,47.13071668,-2.1
-99.25147666,47.13070281,-2.1
-99.25145355,47.13068748,-2.1
-99.25143052,47.13067093,-2.1
-99.25141093,47.13065342,-2.1
-99.25139163,47.1306362,-2.1
-99.25137342,47.13061875,-2.2
-99.25135236,47.13060106,-2.1
-99.25132918,47.13058511,-2.1
-99.25130605,47.13057081,-2.1
-99.25128233,47.13055612,-2.1
-99.25125823,47.13054212,-2
-99.25123379,47.13052708,-2.1
-99.2512104,47.13051316,-2
-99.25118227,47.13050023,-2.1
-99.25115427,47.13048777,-2
-99.25112655,47.13047916,-2
-99.2510979,47.13046866,-1.9
-99.25107011,47.1304597,-1.9
-99.25104158,47.13044726,-1.9
-99.25101383,47.13043559,-1.9
-99.25098525,47.13042388,-1.8
-99.25095719,47.13041107,-1.8
-99.25093391,47.13039803,-1.8
-99.25091138,47.13038733,-1.7
-99.25089336,47.13037757,-1.7
-99.25087997,47.13037134,-1.6
-99.25086808,47.13036592,-1.7
-99.25086049,47.13036025,-1.7
-99.25085259,47.13035673,-1.6
-99.25084594,47.13035354,-1.6
-99.25083993,47.13035142,-1.6
-99.25083443,47.13034936,-1.6
-99.2508336,47.1303473,-1.6
-99.2508352,47.13034495,-1.6
-99.2508368,47.1303426,-1.6
-99.2508384,47.13034138,-1.6
-99.25084,47.13034209,-1.6
-99.2508419,47.1303428,-1.6
-99.25084917,47.13034351,-1.6
-99.25085645,47.13034422,-1.6
-99.25086545,47.13034493,-1.6
-99.25087454,47.13034564,-1.6
-99.25088406,47.13034635,-1.6
-99.25089459,47.13034706,-1.6
-99.25090502,47.13035154,-1.7
-99.25091586,47.1303565,-1.7
-99.25092481,47.13036117,-1.7
-99.25093449,47.1303662,-1.7
-99.25094263,47.13037291,-1.7
-99.25094991,47.1303783,-1.8
-99.2509575,47.13038348,-1.8
-99.25096385,47.13039039,-1.8
-99.25097011,47.13039487,-1.8
-99.25097643,47.13039697,-1.8
-99.25098264,47.13039797,-1.8
-99.25098278,47.13039896,-1.8
-99.25097851,47.13039996,-1.8
-99.25097428,47.13040095,-1.8
-99.25097006,47.13040195,-1.8
-99.25096463,47.13039375,-1.8
-99.25095544,47.13038778,-1.8
-99.25093823,47.13037888,-1.8
-99.25091596,47.13036786,-1.7
-99.25089282,47.13035532,-1.7
-99.2508672,47.13034281,-1.7
-99.25084153,47.13033022,-1.6
-99.25081757,47.13031595,-1.5
-99.25079709,47.13030042,-1.5
-99.25078153,47.13028374,-1.4
-99.25078112,47.13026422,-1.3
-99.25078414,47.13024526,-1.3
-99.25078716,47.13022617,-1.2
-99.25079764,47.13020726,-1.2
-99.25081519,47.13018744,-1.3
-99.25083747,47.13017365,-1.3
-99.2508652,47.13016333,-1.3
-99.25089654,47.13015751,-1.4
-99.2509248,47.13016094,-1.5
-99.2509556,47.13016562,-1.6
-99.25098377,47.13017265,-1.6
-99.25100767,47.13018545,-1.7
-99.25103139,47.13020077,-1.7
-99.25105626,47.13021403,-1.8
-99.25107907,47.13023134,-1.8
-99.25110562,47.13024835,-1.8
-99.25113225,47.1302645,-1.9
-99.25115995,47.13028023,-1.9
-99.25118855,47.13029644,-1.9
-99.25121937,47.13031176,-1.9
-99.25124738,47.13032666,-2
-99.25127721,47.13034111,-2.1
-99.25130683,47.1303561,-2.1
-99.25133496,47.13037135,-2.1
-99.25136579,47.13038459,-2.1
-99.25139683,47.13039935,-2.1
-99.25142779,47.13041337,-2.1
-99.25145642,47.13042728,-2.1
-99.25148744,47.13044045,-2.1
-99.25151845,47.13045532,-2.1
-99.25154815,47.13047073,-2.1
-99.25157732,47.1304865,-2.1
-99.25160564,47.13050186,-2.1
-99.25163143,47.13051687,-2.1
-99.25165716,47.13053279,-2.1
-99.25168529,47.13055019,-2.2
-99.25171202,47.13056619,-2.1
-99.25173819,47.13058387,-2.2
-99.25176302,47.13060282,-2.1
-99.25178882,47.13062145,-2.1
-99.25181267,47.13064048,-2.2
-99.25183621,47.13065826,-2.1
-99.2518607,47.13067707,-2.1
-99.25188481,47.13069491,-2.1
-99.25191108,47.1307134,-2.1
-99.25193421,47.13073039,-2.1
-99.25196108,47.13074774,-2.1
-99.25198644,47.13076691,-2.1
-99.25201321,47.13078404,-2.2
-99.2520395,47.13079956,-2.2
-99.25206809,47.1308171,-2.1
-99.25209672,47.13083393,-2.1
-99.25212444,47.13085036,-2.1
-99.25215301,47.13086833,-2.1
-99.25217996,47.13088339,-2.1
-99.25220821,47.13089834,-2.1
-99.25223624,47.13091575,-2.1
-99.25226229,47.13093313,-2.1
-99.25229017,47.13094933,-2.1
-99.25231877,47.13096517,-2.1
-99.25234657,47.13098113,-2.1
-99.25237566,47.13099707,-2
-99.25240333,47.13101434,-2.1
-99.25243148,47.13102942,-2
-99.25245663,47.13104651,-2
-99.25248387,47.13106368,-2
-99.25250813,47.13108159,-2
-99.25253349,47.13109883,-2
-99.25255661,47.13111793,-2
-99.25258034,47.1311364,-1.9
-99.25260348,47.13115444,-1.9
-99.2526256,47.13117178,-1.9
-99.25264826,47.13119212,-1.9
-99.25267003,47.13121108,-1.9
-99.25269048,47.13123058,-1.9
-99.25271294,47.13124929,-1.9
-99.25273451,47.13126845,-1.8
-99.25275549,47.13128796,-1.8
-99.25277463,47.13130751,-1.7
-99.25279532,47.1313266,-1.8
-99.25281539,47.13134693,-1.7
-99.25283406,47.13136671,-1.7
-99.25285616,47.13138655,-1.7
-99.2528764,47.13140562,-1.6
-99.25289679,47.13142661,-1.6
-99.25292013,47.1314454,-1.6
-99.25294094,47.13146429,-1.5
-99.25296048,47.13148342,-1.4
-99.25298071,47.13149815,-1.4
-99.25299993,47.13151312,-1.4
-99.25302113,47.13152496,-1.3
-99.25304183,47.1315349,-1.2
-99.25306427,47.13154045,-1.2
-99.25308657,47.13154157,-1.2
-99.25311226,47.13153958,-1.2
-99.25313993,47.13153759,-1.3
-99.25317349,47.13153424,-1.3
-99.25320225,47.13152872,-1.3
-99.25323225,47.13151756,-1.3
-99.25325597,47.13150589,-1.4
-99.25327337,47.13148947,-1.4
-99.25329003,47.13147104,-1.5
-99.253302,47.13145334,-1.6
-99.25331155,47.13143462,-1.6
-99.25330683,47.13141393,-1.7
-99.25330101,47.13139472,-1.7
-99.25329197,47.13137757,-1.7
-99.25327738,47.13136103,-1.8
-99.25325668,47.13134957,-1.8
-99.25323337,47.13134037,-1.8
-99.25320893,47.13133153,-1.8
-99.25318114,47.1313222,-1.8
-99.25315256,47.1313123,-1.9
-99.25312966,47.13130053,-1.9
-99.253108,47.13128743,-1.9
-99.25308674,47.13127417,-1.9
-99.25306538,47.13125731,-1.9
-99.25304581,47.13124007,-1.9
-99.25302576,47.13122486,-1.9
-99.25300638,47.13120808,-2
-99.25298806,47.1311912,-2
-99.25297293,47.13117249,-2
-99.25295798,47.13115422,-2
-99.25294005,47.13113587,-2
-99.25292104,47.13111681,-2.1
-99.25290038,47.13110088,-2.1
-99.25287676,47.13108492,-2.1
-99.2528565,47.13107063,-2.1
-99.25283232,47.13105393,-2.1
-99.25280876,47.13103783,-2.1
-99.25278563,47.13102246,-2.1
-99.25276243,47.13100688,-2.1
-99.25274109,47.13099094,-2.1
-99.25272013,47.13097425,-2.1
-99.25269906,47.13095764,-2.1
-99.25267786,47.13093998,-2.1
-99.25265658,47.13092283,-2.1
-99.25263568,47.13090642,-2.1
-99.25261416,47.13088981,-2.1
-99.25259127,47.13087316,-2.1
-99.25256803,47.13085812,-2.2
-99.25254333,47.1308429,-2.1
-99.25251799,47.13082778,-2.2
-99.25249116,47.13081398,-2.2
-99.25246352,47.130802,-2.2
-99.25243689,47.13079011,-2.2
-99.2524103,47.13077927,-2.1
-99.25238327,47.1307682,-2.2
-99.25235553,47.13075752,-2.2
-99.25232774,47.13074796,-2.2
-99.25230198,47.13073541,-2.2
-99.2522794,47.13072163,-2.1
-99.25225892,47.13070671,-2.2
-99.25223983,47.13069209,-2.2
-99.25221844,47.1306739,-2.2
-99.25219943,47.13065813,-2.2
-99.25217903,47.13064064,-2.2
-99.25216035,47.13062147,-2.2
-99.25214201,47.13060396,-2.2
-99.2521222,47.13058808,-2.2
-99.2520985,47.13057242,-2.1
-99.25207756,47.13055612,-2.2
-99.25205676,47.13054055,-2.2
-99.25203304,47.13052469,-2.2
-99.25200994,47.13050954,-2.2
-99.25198654,47.13049717,-2.2
-99.25195945,47.13048461,-2.1
-99.2519342,47.13047226,-2.2
-99.2519075,47.13046082,-2.1
-99.25188184,47.13044756,-2.2
-99.25185839,47.13043533,-2.1
-99.25183283,47.13042332,-2.2
-99.25180717,47.13040991,-2.1
-99.25178404,47.13039583,-2.1
-99.25176177,47.13037994,-2.1
-99.25174312,47.13036341,-2.1
-99.25172106,47.13034789,-2.2
-99.25170248,47.13033091,-2.2
-99.25168055,47.1303137,-2.2
-99.25166194,47.13029697,-2.2
-99.25164258,47.13027944,-2.1
-99.25162386,47.13026255,-2.2
-99.25160156,47.13024526,-2.1
-99.2515814,47.1302287,-2.2
-99.25155731,47.13021407,-2.2
-99.25153669,47.13019849,-2.1
-99.2515119,47.13018344,-2.2
-99.25148639,47.13017122,-2.2
-99.25146054,47.13016083,-2.1
-99.25143195,47.1301513,-2.1
-99.25140264,47.13013965,-2.1
-99.25137728,47.1301277,-2
-99.25135165,47.13011653,-2
-99.25132359,47.13010438,-2
-99.25129802,47.13009265,-1.9
-99.2512694,47.1300816,-1.9
-99.25124257,47.13006916,-1.9
-99.25121636,47.1300578,-1.8
-99.25118907,47.13004547,-1.8
-99.25116325,47.13003318,-1.8
-99.25113468,47.1300232,-1.7
-99.25110777,47.13001063,-1.7
-99.25107986,47.12999951,-1.6
-99.25105659,47.12999082,-1.5
-99.25103554,47.12998313,-1.5
-99.2510157,47.12997501,-1.4
-99.25099705,47.12996658,-1.3
-99.25098023,47.12995422,-1.3
-99.25096778,47.12993817,-1.1
-99.25097246,47.12992117,-1.1
-99.25097817,47.12990423,-1
-99.25098896,47.12989054,-1
-99.25100513,47.12987656,-1.1
-99.25102772,47.12986266,-1.1
-99.25105305,47.12985206,-1.1
-99.25108131,47.12984268,-1.1
-99.25111191,47.12983925,-1.2
-99.25114368,47.12984171,-1.3
-99.25117796,47.12984416,-1.4
-99.251209,47.12984855,-1.5
-99.25124002,47.12985582,-1.5
-99.25126886,47.12986526,-1.6
-99.2512945,47.1298786,-1.7
-99.25132169,47.12989391,-1.7
-99.25134618,47.1299089,-1.8
-99.25137151,47.12992424,-1.8
-99.25139966,47.12994071,-1.9
-99.25142479,47.12995714,-1.9
-99.25145013,47.1299737,-1.9
-99.25147631,47.12999124,-1.9
-99.25150297,47.13000782,-2
-99.25152962,47.13002294,-2
-99.25155688,47.13003897,-2.1
-99.25158464,47.13005473,-2.1
-99.25161085,47.13007056,-2.2
-99.2516386,47.13008813,-2.1
-99.25166617,47.13010475,-2.2
-99.25169407,47.13012139,-2.2
-99.25172184,47.1301349,-2.2
-99.25174999,47.1301502,-2.2
-99.25177818,47.13016688,-2.2
-99.25180627,47.13018347,-2.2
-99.25183451,47.13019955,-2.2
-99.25186557,47.13021401,-2.2
-99.25189342,47.13022752,-2.2
-99.2519219,47.13024303,-2.2
-99.25195003,47.1302588,-2.2
-99.2519772,47.13027465,-2.1
-99.25200539,47.13028756,-2.2
-99.25203445,47.1303017,-2.2
-99.25206319,47.13031659,-2.2
-99.25209096,47.13033211,-2.2
-99.25212093,47.13034684,-2.2
-99.25214729,47.13036277,-2.1
-99.25217835,47.13037858,-2.2
-99.25220691,47.13039302,-2.2
-99.25223386,47.13040855,-2.2
-99.25226021,47.13042415,-2.2
-99.25228776,47.13044125,-2.1
-99.25231582,47.13045835,-2.1
-99.2523409,47.13047436,-2.1
-99.25236918,47.13049016,-2.1
-99.2523949,47.13050629,-2.2
-99.25242056,47.13052335,-2.1
-99.25244821,47.13054004,-2.1
-99.2524764,47.13055699,-2.2
-99.25250418,47.1305732,-2.2
-99.25253212,47.13058897,-2.2
-99.25255968,47.13060472,-2.2
-99.25258583,47.13062229,-2.1
-99.25261308,47.13063977,-2.1
-99.25263893,47.13065728,-2.2
-99.25266572,47.13067462,-2.2
-99.25269139,47.13069219,-2.2
-99.25271775,47.13070813,-2.2
-99.25274328,47.13072693,-2.2
-99.25276865,47.13074443,-2.2
-99.25279242,47.1307633,-2.2
-99.25281774,47.1307812,-2.2
-99.25284298,47.13079842,-2.2
-99.25286905,47.13081752,-2.2
-99.25289242,47.13083602,-2.2
-99.25291593,47.13085404,-2.2
-99.25294113,47.13087284,-2.1
-99.25296682,47.13089196,-2.1
-99.25299024,47.13091069,-2.1
-99.25301588,47.13093017,-2.1
-99.25303718,47.13094925,-2.1
-99.25306028,47.13096968,-2.1
-99.25308594,47.13098849,-2.1
-99.25310939,47.13100729,-2.1
-99.25313516,47.13102651,-2.1
-99.25315786,47.13104528,-2.1
-99.25318155,47.13106614,-2.1
-99.25320492,47.13108507,-2.1
-99.25323036,47.13110223,-2
-99.25325494,47.13112145,-2
-99.25327903,47.13113916,-2.1
-99.25330281,47.13115869,-2
-99.25332793,47.1311776,-2
-99.25335167,47.13119716,-2
-99.25337529,47.13121488,-2
-99.25339804,47.13123371,-1.9
-99.25342196,47.13125228,-1.9
-99.25344491,47.13127183,-1.9
-99.25346695,47.13129092,-1.8
-99.25349145,47.13130972,-1.8
-99.25351518,47.131329,-1.8
-99.25353815,47.1313465,-1.7
-99.25355971,47.13136366,-1.7
-99.25358066,47.1313783,-1.7
-99.25359925,47.13139247,-1.6
-99.25362148,47.1314061,-1.6
-99.25364217,47.13141769,-1.5
-99.25366512,47.13142803,-1.5
-99.25368608,47.1314365,-1.4
-99.25370863,47.131442,-1.4
-99.2537295,47.13144374,-1.4
-99.25375344,47.13144176,-1.4
-99.2537729,47.13143977,-1.4
-99.2537904,47.1314366,-1.4
-99.25380747,47.1314302,-1.4
-99.25382451,47.13141942,-1.4
-99.25383825,47.13140458,-1.4
-99.25384784,47.13138885,-1.5
-99.25384912,47.13136991,-1.5
-99.25384652,47.13135062,-1.5
-99.25384391,47.13133147,-1.6
-99.25384008,47.13131048,-1.6
-99.25382953,47.131293,-1.6
-99.25381519,47.13127572,-1.7
-99.25379498,47.131261,-1.7
-99.2537735,47.13124671,-1.8
-99.25374801,47.13123293,-1.8
-99.25372301,47.13122083,-1.8
-99.25369925,47.1312072,-1.9
-99.25367679,47.13119324,-1.9
-99.25365612,47.13117818,-1.9
-99.25363716,47.131163,-1.9
-99.25362129,47.13114706,-1.9
-99.25360754,47.13112888,-2
-99.25359422,47.13110997,-2
-99.25358219,47.13109072,-2
-99.25356822,47.1310714,-2
-99.25355527,47.13105224,-2
-99.2535426,47.13103326,-2
-99.25352653,47.13101452,-2
-99.25351063,47.13099501,-2.1
-99.25349195,47.13097787,-2.1
-99.2534719,47.13096029,-2.1
-99.25345301,47.13094369,-2.1
-99.25343098,47.13092833,-2.1
-99.25340997,47.13091218,-2.1
-99.25338665,47.13089731,-2.1
-99.2533633,47.13088192,-2.2
-99.25334045,47.13086769,-2.1
-99.25331658,47.13085607,-2.2
-99.25329383,47.1308422,-2.1
-99.25327205,47.13082716,-2.2
-99.25324892,47.13081151,-2.1
-99.25322862,47.130794,-2.2
