Longitude,Latitude,Depth
-89.47477123,46.21194002,-0.8
-89.47476706,46.21194567,-0.7
-89.4747629,46.21194414,-0.8
-89.47475444,46.21194259,-0.8
-89.47474129,46.21194105,-0.9
-89.47472698,46.21194101,-1
-89.47470835,46.21194398,-1
-89.47468803,46.21194345,-1.1
-89.47466404,46.21193725,-1.1
-89.47463828,46.21193296,-1.3
-89.47461428,46.21192402,-1.3
-89.47459158,46.21191584,-1.4
-89.47456764,46.21190781,-1.5
-89.47454286,46.21189878,-1.8
-89.47451643,46.2118893,-1.9
-89.47448864,46.2118809,-2.1
-89.4744604,46.21186998,-2.3
-89.47443403,46.21186129,-2.5
-89.47440653,46.21185188,-2.7
-89.47437681,46.21184534,-2.7
-89.47434904,46.21183839,-2.7
-89.47431833,46.21183143,-2.7
-89.47428696,46.21182486,-2.7
-89.47425677,46.21181972,-2.6
-89.47422897,46.21181481,-2.5
-89.47419722,46.21181016,-2.3
-89.47416693,46.21180529,-2.2
-89.47413589,46.21180114,-2
-89.47410485,46.21179776,-1.9
-89.47407438,46.21179426,-1.8
-89.47404284,46.21179073,-1.5
-89.4740126,46.21178619,-1.3
-89.47398189,46.21178084,-1.2
-89.47395185,46.21177541,-1.2
-89.47392145,46.2117704,-1.1
-89.47389171,46.21176514,-1.1
-89.47386129,46.21176011,-1.1
-89.47383189,46.21175349,-1.2
-89.47379944,46.21174923,-1.2
-89.47376872,46.21174531,-1.2
-89.47373748,46.21174156,-1.3
-89.47370864,46.21173755,-1.4
-89.47367533,46.2117339,-1.5
-89.47364579,46.21173212,-1.6
-89.47361692,46.21173034,-1.6
-89.47358302,46.21172856,-1.6
-89.47355258,46.21172736,-1.7
-89.47351773,46.21172642,-1.8
-89.47348669,46.21172548,-1.9
-89.47345646,46.21172455,-1.9
-89.4734223,46.21172362,-2.1
-89.47339195,46.21172269,-2.3
-89.47336093,46.21172176,-2.7
-89.47333025,46.2117196,-2.9
-89.47329894,46.21171746,-3.2
-89.47326813,46.21171537,-3.2
-89.47323739,46.21171394,-3.2
-89.47320566,46.21171251,-3.1
-89.4731723,46.21171109,-3
-89.4731413,46.21170966,-2.9
-89.47311089,46.21170746,-2.8
-89.47307679,46.211705,-2.9
-89.47304567,46.21170271,-2.8
-89.47301465,46.21170113,-3
-89.4729812,46.21169956,-3
-89.47295015,46.21169798,-3.1
-89.47291983,46.21169636,-3.2
-89.47288736,46.21169462,-3.4
-89.4728546,46.21169289,-3.3
-89.47282114,46.21169116,-3.3
-89.47279007,46.2116889,-3.2
-89.47275909,46.21168635,-3.2
-89.47272803,46.21168362,-3.2
-89.47269456,46.21168024,-3.1
-89.47266028,46.21167706,-2.9
-89.47263005,46.21167424,-2.8
-89.47259904,46.21167133,-2.7
-89.47256628,46.21166795,-2.5
-89.4725337,46.21166444,-2.5
-89.47250116,46.21166068,-2.4
-89.47246985,46.21165716,-2.3
-89.47243571,46.21165377,-2.3
-89.47240573,46.21165054,-2.1
-89.47237363,46.21164734,-2
-89.4723414,46.2116438,-2
-89.47230845,46.21163997,-1.9
-89.4722753,46.21163459,-1.9
-89.47224381,46.21163095,-2
-89.47221292,46.21162857,-2
-89.47218161,46.21163006,-2
-89.47215156,46.21163155,-2
-89.47212051,46.21163304,-2
-89.47208764,46.21163434,-2
-89.47205599,46.21163234,-1.9
-89.472025,46.21163033,-2
-89.47199466,46.21162832,-2
-89.47196046,46.21162631,-2
-89.47192937,46.2116243,-2
-89.47189593,46.21162229,-2
-89.47186487,46.21161881,-2
-89.47183386,46.21161514,-2.1
-89.47180333,46.2116119,-2.2
-89.47177177,46.211609,-2.2
-89.47173952,46.2116071,-2.3
-89.47170989,46.21160522,-2.3
-89.47167622,46.21160332,-2.3
-89.47164522,46.21160211,-2.2
-89.47161451,46.21160093,-2.3
-89.47158395,46.21159975,-2.2
-89.47155015,46.21159856,-2.2
-89.47151868,46.21159738,-2.3
-89.47148846,46.21159485,-2.2
-89.47145741,46.21159177,-2.3
-89.47142636,46.21158718,-2.3
-89.47139534,46.2115835,-2.3
-89.47136289,46.21158141,-2.2
-89.47133082,46.21157932,-2.2
-89.47130085,46.2115773,-2.2
-89.47126874,46.21157535,-2
-89.47123799,46.21157341,-2
-89.4712075,46.2115713,-1.9
-89.47117641,46.21156883,-1.8
-89.47114218,46.21156637,-1.8
-89.47111198,46.21156269,-1.7
-89.4710809,46.2115587,-1.6
-89.47104988,46.21155488,-1.6
-89.47101886,46.21155083,-1.5
-89.47098779,46.21154648,-1.4
-89.47095908,46.21154155,-1.5
-89.47092929,46.21153399,-1.4
-89.47089882,46.21152766,-1.3
-89.47086926,46.2115217,-1.3
-89.47083677,46.21151522,-1.2
-89.47080899,46.21150704,-1.1
-89.47078062,46.2115006,-1
-89.47075016,46.21149384,-0.9
-89.4707218,46.21148454,-0.8
-89.47069373,46.21147543,-1.6
-89.47066414,46.21146438,-1.4
-89.47063541,46.21145528,-1.1
-89.47061098,46.21144539,-1.5
-89.47058525,46.21143385,-1.3
-89.47056728,46.21141909,-1.3
-89.47055561,46.21140288,-1.4
-89.4705432,46.21138678,-1.4
-89.47052976,46.21137253,-0.9
-89.47051423,46.21135709,-1.4
-89.47049606,46.21134191,-1
-89.47047746,46.21132887,-1.1
-89.4704544,46.21131393,-1.4
-89.47043012,46.21130309,-1.5
-89.47040306,46.21129146,-1.9
-89.47037769,46.21128275,-1
-89.47035676,46.21127524,-1.1
-89.47033793,46.21126835,-1.2
-89.47032077,46.21126301,-1.3
-89.47030333,46.21122787,-1.3
-89.47027501,46.21115562,-1.3
-89.47026187,46.21125479,-1.3
-89.47024144,46.21125993,-1.3
-89.47021778,46.21125843,-1.3
-89.47019704,46.21125695,-1.2
-89.47017502,46.21125546,-1.2
-89.47015657,46.21125387,-1.2
-89.47014006,46.21125066,-1.2
-89.47012547,46.2112474,-1.2
-89.47010631,46.21124357,-1.2
-89.47008456,46.21123952,-1.2
-89.47006054,46.21123527,-1.2
-89.47003278,46.2112328,-1.1
-89.470004,46.21123033,-1.1
-89.46997634,46.21122646,-1.1
-89.46994911,46.21122139,-1
-89.46992807,46.21121674,-1
-89.46990968,46.21121183,-0.9
-89.46989184,46.2112082,-0.9
-89.46987765,46.21120512,-0.9
-89.46986376,46.21120055,-1.6
-89.46984839,46.2111959,-1.4
-89.46983813,46.21119189,-0.9
-89.46982689,46.21118943,-0.8
-89.46981711,46.21118707,-0.7
-89.46980729,46.21118441,-1.3
-89.46979828,46.21118117,-0.7
-89.46978879,46.21117561,-1.6
-89.46977506,46.21116717,-0.8
-89.46975932,46.21115825,-1.5
-89.469744,46.21114746,-1.1
-89.46972938,46.21114026,-1.8
-89.46971704,46.2111331,-0.8
-89.46970494,46.21112543,-0.9
-89.46969105,46.21111897,-0.8
-89.46967221,46.21111229,-0.9
-89.46965152,46.21110513,-0.9
-89.46962827,46.21109666,-0.9
-89.46960312,46.21108962,-0.9
-89.46957731,46.21108083,-0.9
-89.46954775,46.21107254,-1
-89.46951871,46.21106467,-1
-89.4694877,46.21105662,-1
-89.4694606,46.21104626,-1.3
-89.46943966,46.21103536,-1.1
-89.46941866,46.21102273,-1.2
-89.46939772,46.21101115,-1.2
-89.46937678,46.21099668,-1.3
-89.46935588,46.21098237,-1.4
-89.46933304,46.21097012,-1.4
-89.46930969,46.21095636,-1.4
-89.46928455,46.21094597,-1.5
-89.46926119,46.21093845,-1.5
-89.46923535,46.2109306,-1.5
-89.46920827,46.21093116,-1.4
-89.46918328,46.21093272,-1.3
-89.4691553,46.21093427,-1.2
-89.46912766,46.21093582,-1.1
-89.46910191,46.21092823,-1.1
-89.46908474,46.21092245,-1.1
-89.46907992,46.21091844,-1
-89.46907505,46.21091539,-1
-89.46906988,46.21091273,-1.1
-89.46907338,46.21090838,-1
-89.46907946,46.21090427,-1
-89.46908368,46.2109032,-1
