Depth,2d_area,3d_area,Volume
0.00000000000,258188.57577000000,262215.32174100000,1225634.32704000000
-2.00000000000,198521.73614200000,201582.81039600000,765912.37908300000
-4.00000000000,130340.08106000000,132719.14685700000,443869.37047800000
-6.00000000000,78339.49606630000,80069.80954930000,234928.75847700000
-8.00000000000,41682.88523970000,42873.78371880000,118212.23691100000
-10.00000000000,20497.44263570000,21280.41907150000,56789.57228730000
-12.00000000000,11619.70352230000,12108.80799440000,26218.39204200000
-14.00000000000,6134.32475478000,6374.13275479000,8607.38578282000
-16.00000000000,1801.09206460000,1881.29372585000,1371.08252069000
-18.00000000000,31.87184234240,37.08947961330,7.43756871151
