Longitude,Latitude,Depth
-99.11601869,47.15818447,-1
-99.11602851,47.15818881,-1
-99.11603043,47.15819255,-1
-99.11603234,47.15819587,-2.1
-99.11603425,47.1581987,-2.2
-99.11603617,47.15820135,-1.1
-99.11603742,47.15820422,-1.1
-99.11603844,47.15820736,-1.1
-99.11603947,47.15821083,-1.2
-99.11604049,47.15821462,-1.1
-99.11604152,47.15821821,-2.3
-99.11604254,47.1582217,-1.2
-99.11604357,47.15822477,-1.2
-99.11604459,47.15822789,-1.2
-99.11604561,47.15823163,-1.2
-99.11604607,47.15823537,-1.3
-99.11604651,47.15823913,-1.3
-99.11604695,47.15824278,-1.3
-99.11604738,47.15824648,-1.3
-99.11604782,47.15825049,-1.3
-99.11604826,47.15825387,-1.3
-99.1160487,47.15825688,-1.4
-99.11604914,47.15826019,-1.4
-99.11604957,47.15826366,-1.4
-99.11605001,47.15826724,-1.4
-99.11605045,47.15827072,-1.4
-99.11605089,47.15827371,-1.4
-99.11605133,47.15827668,-1.4
-99.11605176,47.15827959,-1.4
-99.1160522,47.1582825,-1.4
-99.11605264,47.15828621,-1.5
-99.11605308,47.15829006,-1.5
-99.11605352,47.15829422,-1.5
-99.11605395,47.15829905,-1.5
-99.11605439,47.15830377,-1.5
-99.11605555,47.15830762,-1.5
-99.11605749,47.15830974,-1.5
-99.11605944,47.15831186,-1.5
-99.11606139,47.15831407,-1.5
-99.11606335,47.15831642,-1.6
-99.11606229,47.15831877,-1.6
-99.11606078,47.15832168,-1.6
-99.11605926,47.15832475,-1.6
-99.11605775,47.15832381,-1.7
-99.11605625,47.15832183,-1.7
-99.11605474,47.15831984,-1.6
-99.11605147,47.15831356,-1.6
-99.11604806,47.15830701,-1.7
-99.11604606,47.15829815,-1.6
-99.1160475,47.15828543,-1.6
-99.11604895,47.15827154,-1.5
-99.11605039,47.15825582,-1.5
-99.11605184,47.15824016,-1.4
-99.11605329,47.15822083,-1.3
-99.11605446,47.15820116,-1.3
-99.11605248,47.15818222,-1.2
-99.11605049,47.15816303,-1.2
-99.11604851,47.15814382,-1.1
-99.11604652,47.15812441,-1.1
-99.11604161,47.15810805,-1.1
-99.11603526,47.15809034,-1
-99.11603081,47.15807306,-1
-99.11602625,47.15805579,-1.1
-99.1160213,47.15803686,-1.1
-99.11601762,47.1580178,-1
-99.11601534,47.15799839,-2.1
-99.11601307,47.15797767,-2
-99.11601079,47.15796,-1
-99.11601096,47.15794046,-1.9
-99.116024,47.15792275,-1.5
-99.11603392,47.15790601,-1.1
-99.11605212,47.15789741,-1.1
-99.11607131,47.15789751,-1.1
-99.11609306,47.15789869,-1.2
-99.11611515,47.15789988,-1.2
-99.11614265,47.15790106,-1.3
-99.11616838,47.15790224,-1.4
-99.11619588,47.15790518,-1.4
-99.11622362,47.15790879,-1.5
-99.11625224,47.1579097,-1.5
-99.11628249,47.15791061,-1.6
-99.11631431,47.15791152,-1.6
-99.11634282,47.15791243,-1.6
-99.11637391,47.15791334,-1.7
-99.11640495,47.15791425,-1.7
-99.11643489,47.15791516,-1.7
-99.11646527,47.1579161,-1.8
-99.11649559,47.15791704,-1.8
-99.11652535,47.15791798,-1.9
-99.11655523,47.15791892,-1.9
-99.11658685,47.15791986,-1.9
-99.1166197,47.1579208,-2
-99.11664858,47.15792268,-2
-99.11667894,47.15792481,-1.9
-99.11671037,47.15792694,-1.5
-99.11673822,47.15792856,-2
-99.11677,47.15793011,-2
-99.11680082,47.15793166,-2
-99.11683034,47.15793321,-2.1
-99.11685978,47.15793507,-2.1
-99.1168909,47.15793695,-2.1
-99.11692118,47.15793883,-2
-99.11695045,47.15794239,-2.1
-99.11698147,47.15794608,-2.1
-99.11701246,47.15794827,-2.1
-99.11704154,47.15795048,-2
-99.11707213,47.15795242,-2
-99.11710076,47.1579541,-2
-99.11713167,47.15795578,-1.9
-99.11715951,47.15795745,-1.9
-99.11718868,47.1579612,-1.9
-99.11721916,47.15796502,-1.8
-99.11724754,47.15796808,-1.8
-99.11727876,47.15797147,-1.8
-99.11730978,47.15797541,-1.8
-99.11733753,47.15798046,-1.8
-99.11736859,47.15798641,-1.8
-99.11739668,47.157991,-1.8
-99.117426,47.15799486,-1.8
-99.11745594,47.15799909,-1.8
-99.11748782,47.15800463,-1.8
-99.11751882,47.15800978,-1.8
-99.11754659,47.15801339,-1.8
-99.11757517,47.15801494,-1.8
-99.1176054,47.15801649,-1.7
-99.11763442,47.15801805,-1.7
-99.11766498,47.15801969,-1.7
-99.11769359,47.15802146,-1.7
-99.11772376,47.15802324,-1.7
-99.11775317,47.15802502,-1.7
-99.11778421,47.15802649,-1.7
-99.11781525,47.15802794,-1.7
-99.11784303,47.15802939,-1.8
-99.1178714,47.15803083,-1.8
-99.11790259,47.15803223,-1.9
-99.11793121,47.15803362,-1.9
-99.11795841,47.158035,-2
-99.11799003,47.15803639,-2
-99.11802103,47.15803791,-2
-99.1180488,47.15803979,-2
-99.11807835,47.15804167,-2.1
-99.11810842,47.15804354,-2.1
-99.11814027,47.15804387,-2.1
-99.11816939,47.1580442,-2.1
-99.11819903,47.15804453,-2.1
-99.11823009,47.15804487,-2.1
-99.11825991,47.1580452,-2.1
-99.11828908,47.15804553,-2.1
-99.11831747,47.15804586,-2.1
-99.11834942,47.1580462,-2.1
-99.11837953,47.15804653,-2.2
